"tic","invest"
"CPL",1002.00400801603
"CPMMF",1002.00400801603
"CPNVF",1002.00400801603
"CPXWF",1002.00400801603
"CRBO",1002.00400801603
"CRDE",0
"CRESY",1002.00400801603
"CRMD",1002.00400801603
"CRYO",1002.00400801603
"CSOD",1002.00400801603
"CSPGF",1002.00400801603
"CTGO",1002.00400801603
"CULL",1002.00400801603
"CV.",1002.00400801603
"CVE",1002.00400801603
"CVSI",1002.00400801603
"CWMCF",1002.00400801603
"CYAD",1002.00400801603
"CYMBF",1002.00400801603
"CYOU",1002.00400801603
"CYTX",1002.00400801603
"CZGDF",1002.00400801603
"CZWI",1002.00400801603
"DBLVF",1002.00400801603
"DBVT",1002.00400801603
"DCIX",1002.00400801603
"DCM",1002.00400801603
"DEAC",1002.00400801603
"DELTY",1002.00400801603
"DENR",1002.00400801603
"DGI",1002.00400801603
"DL",1002.00400801603
"DLMAF",1002.00400801603
"DMRC",1002.00400801603
"DPS",1002.00400801603
"DQ",1002.00400801603
"DRD",1002.00400801603
"DRLDF",1002.00400801603
"DRNE",1002.00400801603
"DTEGY",1002.00400801603
"DUNDF",1002.00400801603
"EACO",1002.00400801603
"EBR",1002.00400801603
"EC",1002.00400801603
"ECAOF",1002.00400801603
"ECHO",1002.00400801603
"ECSNF",1002.00400801603
"ECYT",1002.00400801603
"EDN",1002.00400801603
"EFC",1002.00400801603
"EFRGF",1002.00400801603
"EGFHF",1002.00400801603
"EGGLF",1002.00400801603
"EGRGF",1002.00400801603
"EIGI",1002.00400801603
"ELGSF",1002.00400801603
"ELLI",1002.00400801603
"ELMD",1002.00400801603
"EMGC",1002.00400801603
"EMPK",1002.00400801603
"EMRRF",1002.00400801603
"EMYB",1002.00400801603
"ENCTF",1002.00400801603
"ENFC",1002.00400801603
"ENGIY",1002.00400801603
"ENLAY",1002.00400801603
"ENPH",1002.00400801603
"ENRJ",1002.00400801603
"ENSV",1002.00400801603
"ENTCF",1002.00400801603
"ENV",1002.00400801603
"ENVA",1002.00400801603
"ENZB",1002.00400801603
"EPAM",1002.00400801603
"EQGPF",1002.00400801603
"EQI.",1002.00400801603
"ERA",1002.00400801603
"ERDCF",1002.00400801603
"ERII",1002.00400801603
"ERJ",1002.00400801603
"ERN",1002.00400801603
"EROS",1002.00400801603
"ESNC",1002.00400801603
"ESSI",1002.00400801603
"EURN",1002.00400801603
"EVARF",1002.00400801603
"EVGN",1002.00400801603
"EVTC",1002.00400801603
"EVTCY",1002.00400801603
"EVTZF",1002.00400801603
"EXA",1002.00400801603
"EXAD",1002.00400801603
"EXPR",1002.00400801603
"FAF",1002.00400801603
"FAR.",1002.00400801603
"FBHS",1002.00400801603
"FBIO",1002.00400801603
"FBMCF",1002.00400801603
"FBNK",1002.00400801603
"FCB",1002.00400801603
"FCHS",1002.00400801603
"FCSMF",1002.00400801603
"FDGMF",1002.00400801603
"FDUS",1002.00400801603
"FENG",1002.00400801603
"FESLQ",1002.00400801603
"FF",1002.00400801603
"FFMH",1002.00400801603
"FIBK",1002.00400801603
"FIG.",1002.00400801603
"FLDM",1002.00400801603
"FLDPF",1002.00400801603
"FLT",1002.00400801603
"FMS",1002.00400801603
"FMSA",1002.00400801603
"FN",1002.00400801603
"FNGN",1002.00400801603
"FNLIF",1002.00400801603
"FOGO",1002.00400801603
"FORTY",1002.00400801603
"FPRGF",1002.00400801603
"FQC.",1002.00400801603
"FRAN",1002.00400801603
"FRGI",1002.00400801603
"FRO",1002.00400801603
"FRRPF",1002.00400801603
"FSBW",1002.00400801603
"FSFG",1002.00400801603
"FTEO",1002.00400801603
"FTNT",1002.00400801603
"FVGCF",1002.00400801603
"GAHC",1002.00400801603
"GALE",1002.00400801603
"GBDC",1002.00400801603
"GBNXF",1002.00400801603
"GCAP",1002.00400801603
"GDLLF",1002.00400801603
"GDOT",1002.00400801603
"GEBRF",1002.00400801603
"GENE",1002.00400801603
"GEVO",1002.00400801603
"GFA",1002.00400801603
"GFGY",1002.00400801603
